Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,year,month,week,day_of_week,quarter,lag_1,lag_2,lag_4,lag_12,Predicted,Demand_change_%,Stock_risk
1,2012-08-03,1631135.79,0,86.11,3.417,221.9498642,6.908,2012,8,31,4,3,1439123.71,1497954.76,1769854.16,1611096.05,1571070.7868115082,9.168570838952288,Hight Demand - Increase Inventory
1,2012-08-10,1592409.97,0,85.05,3.494,221.9584329,6.908,2012,8,32,4,3,1631135.79,1439123.71,1527014.04,1595901.87,1546394.3906152323,-5.195238796444271,Low Demand - Decrease Inventory
1,2012-08-17,1597868.05,0,84.85,3.571,222.0384109,6.908,2012,8,33,4,3,1592409.97,1631135.79,1497954.76,1555444.55,1549692.3577972502,-2.6825762842184306,Stable
1,2012-08-24,1494122.38,0,77.66,3.62,222.1719457,6.908,2012,8,34,4,3,1597868.05,1592409.97,1439123.71,1624477.58,1535382.4923375398,-3.9105580503008524,Stable
1,2012-08-31,1582083.4,0,80.49,3.638,222.3054805,6.908,2012,8,35,4,3,1494122.38,1597868.05,1631135.79,1697230.96,1562061.0097819045,4.547059243025637,Stable
1,2012-09-07,1661767.33,1,83.96,3.73,222.4390153,6.908,2012,9,36,4,3,1582083.4,1494122.38,1592409.97,1630607.0,1616291.1826204956,2.162198441655835,Stable
1,2012-09-14,1517428.87,0,74.97,3.717,222.5820193,6.908,2012,9,37,4,3,1661767.33,1582083.4,1597868.05,1527845.81,1620384.1335661784,-2.490312313085472,Stable
1,2012-09-21,1506126.06,0,69.87,3.721,222.7818386,6.908,2012,9,38,4,3,1517428.87,1661767.33,1494122.38,1540421.49,1551312.76699733,2.232980910487737,Stable
1,2012-09-28,1437059.26,0,76.08,3.666,222.9816579,6.908,2012,9,39,4,3,1506126.06,1517428.87,1582083.4,1769854.16,1569368.3950541988,4.199006758717045,Stable
1,2012-10-05,1670785.97,0,68.55,3.617,223.1814772,6.573,2012,10,40,4,4,1437059.26,1506126.06,1661767.33,1527014.04,1562959.116870053,8.760937031229533,Hight Demand - Increase Inventory
1,2012-10-12,1573072.81,0,62.99,3.601,223.3812965,6.573,2012,10,41,4,4,1670785.97,1437059.26,1517428.87,1497954.76,1575798.6349275112,-5.685188694305875,Low Demand - Decrease Inventory
1,2012-10-19,1508068.77,0,67.97,3.594,223.4257233,6.573,2012,10,42,4,4,1573072.81,1670785.97,1506126.06,1439123.71,1562523.6310562715,-0.670609705836093,Stable
1,2012-10-26,1493659.74,0,69.16,3.506,223.4442513,6.573,2012,10,43,4,4,1508068.77,1573072.81,1437059.26,1631135.79,1518351.194962442,0.6818273255828978,Stable
2,2012-05-04,1923957.09,0,76.73,3.749,221.3095166,6.891,2012,5,18,4,2,1764133.09,1847344.45,2129035.91,2103322.68,1916362.1555873752,8.629114574761196,Hight Demand - Increase Inventory
2,2012-05-11,1917520.99,0,73.87,3.688,221.3632212,6.891,2012,5,19,4,2,1923957.09,1764133.09,1935869.1,2196688.46,1902008.5541742444,-1.1408017330446636,Stable
2,2012-05-18,2000940.67,0,71.27,3.63,221.380331,6.891,2012,5,20,4,2,1917520.99,1923957.09,1847344.45,1861802.7,1841253.5186242834,-3.977399557734,Stable
2,2012-05-25,1912791.09,0,78.19,3.561,221.3828029,6.891,2012,5,21,4,2,2000940.67,1917520.99,1764133.09,1952555.66,1842756.5569303408,-7.905487426054422,Low Demand - Decrease Inventory
2,2012-06-01,1910092.37,0,78.38,3.501,221.3852748,6.891,2012,6,22,4,2,1912791.09,2000940.67,1923957.09,1937628.26,1912591.8009365276,-0.010418757412370297,Stable
2,2012-06-08,2010216.49,0,78.69,3.452,221.3877467,6.891,2012,6,23,4,2,1910092.37,1912791.09,1917520.99,1976082.13,1888973.1608855724,-1.1056642833680173,Stable
2,2012-06-15,1962924.3,0,80.56,3.393,221.4009901,6.891,2012,6,24,4,2,2010216.49,1910092.37,2000940.67,1790439.16,1907422.5141107887,-5.113577388334491,Low Demand - Decrease Inventory
2,2012-06-22,1887733.21,0,81.04,3.346,221.4411622,6.891,2012,6,25,4,2,1962924.3,2010216.49,1912791.09,1857480.84,1883080.830487363,-4.067577619403713,Stable
2,2012-06-29,1881046.12,0,86.32,3.286,221.4813343,6.891,2012,6,26,4,2,1887733.21,1962924.3,1910092.37,2129035.91,1876544.3672635034,-0.592713137493438,Stable
2,2012-07-06,2041507.4,0,84.2,3.227,221.5215064,6.565,2012,7,27,4,3,1881046.12,1887733.21,2010216.49,1935869.1,1890331.515268594,0.4936293251860254,Stable
2,2012-07-13,1830075.13,0,80.17,3.256,221.5616784,6.565,2012,7,28,4,3,2041507.4,1881046.12,1962924.3,1847344.45,1911344.7314270735,-6.375811744445621,Low Demand - Decrease Inventory
2,2012-07-20,1819666.46,0,83.23,3.311,221.5701123,6.565,2012,7,29,4,3,1830075.13,2041507.4,1887733.21,1764133.09,1826722.0822546557,-0.18321913075471546,Stable
2,2012-07-27,1757923.88,0,86.37,3.407,221.5785461,6.565,2012,7,30,4,3,1819666.46,1830075.13,1881046.12,1923957.09,1802308.730966635,-0.9538961900394052,Stable
2,2012-08-03,1946104.64,0,90.22,3.417,221.5869799,6.565,2012,8,31,4,3,1757923.88,1819666.46,2041507.4,1917520.99,1867074.6358891055,6.209071799462991,Hight Demand - Increase Inventory
2,2012-08-10,1866719.96,0,88.55,3.494,221.5954138,6.565,2012,8,32,4,3,1946104.64,1757923.88,1830075.13,2000940.67,1865598.569747232,-4.136780140083732,Stable
2,2012-08-17,1928016.01,0,84.79,3.571,221.6751459,6.565,2012,8,33,4,3,1866719.96,1946104.64,1819666.46,1912791.09,1854308.1972403899,-0.664896879316064,Stable
2,2012-08-24,1876788.15,0,76.91,3.62,221.8083518,6.565,2012,8,34,4,3,1928016.01,1866719.96,1757923.88,1910092.37,1839883.1853491515,-4.571166639370827,Stable
2,2012-08-31,1947083.3,0,82.64,3.638,221.9415576,6.565,2012,8,35,4,3,1876788.15,1928016.01,1946104.64,2010216.49,1896442.1547644883,1.047214879553051,Stable
2,2012-09-07,1898777.07,1,87.65,3.73,222.0747635,6.565,2012,9,36,4,3,1947083.3,1876788.15,1866719.96,1962924.3,1944296.4495634437,-0.14312949202308836,Stable
2,2012-09-14,1814806.63,0,75.88,3.717,222.2174395,6.565,2012,9,37,4,3,1898777.07,1947083.3,1928016.01,1887733.21,1923995.6253539026,1.3281472455269596,Stable
2,2012-09-21,1829415.67,0,71.09,3.721,222.4169362,6.565,2012,9,38,4,3,1814806.63,1898777.07,1876788.15,1881046.12,1864634.8202697188,2.745647356915314,Stable
2,2012-09-28,1746470.56,0,79.45,3.666,222.6164329,6.565,2012,9,39,4,3,1829415.67,1814806.63,1947083.3,2041507.4,1885615.2692292556,3.071997258515649,Stable
2,2012-10-05,1998321.04,0,70.27,3.617,222.8159296,6.17,2012,10,40,4,4,1746470.56,1829415.67,1898777.07,1830075.13,1846294.681318283,5.715763185740904,Hight Demand - Increase Inventory
2,2012-10-12,1900745.13,0,60.97,3.601,223.0154263,6.17,2012,10,41,4,4,1998321.04,1746470.56,1814806.63,1819666.46,1885687.912738219,-5.63638799808569,Low Demand - Decrease Inventory
2,2012-10-19,1847990.41,0,68.08,3.594,223.0598077,6.17,2012,10,42,4,4,1900745.13,1998321.04,1829415.67,1757923.88,1882163.4150305614,-0.9776016087668999,Stable
2,2012-10-26,1834458.35,0,69.79,3.506,223.0783366,6.17,2012,10,43,4,4,1847990.41,1900745.13,1746470.56,1946104.64,1837151.782874778,-0.5865088404447945,Stable
3,2012-05-04,439913.57,0,79.51,3.749,225.1797511,6.664,2012,5,18,4,2,394616.11,434822.13,503232.13,473292.47,444857.8182976991,12.731793513878365,Hight Demand - Increase Inventory
3,2012-05-11,431985.36,0,75.19,3.688,225.2351496,6.664,2012,5,19,4,2,439913.57,394616.11,420789.74,475591.08,419504.0843384564,-4.639430800360083,Stable
3,2012-05-18,418112.76,0,72.38,3.63,225.2512024,6.664,2012,5,20,4,2,431985.36,439913.57,434822.13,418925.47,411254.6074511409,-4.798947943249536,Stable
3,2012-05-25,413701.29,0,78.58,3.561,225.2515168,6.664,2012,5,21,4,2,418112.76,431985.36,394616.11,469752.56,386498.57638605684,-7.561162116636471,Low Demand - Decrease Inventory
3,2012-06-01,432268.53,0,81.55,3.501,225.2518313,6.664,2012,6,22,4,2,413701.29,418112.76,439913.57,445162.05,429459.8371479735,3.8091607468696798,Stable
3,2012-06-08,446336.8,0,81.65,3.452,225.2521458,6.664,2012,6,23,4,2,432268.53,413701.29,431985.36,411775.8,417076.40472604334,-3.5145110549585192,Stable
3,2012-06-15,442074.79,0,84.66,3.393,225.2644795,6.664,2012,6,24,4,2,446336.8,432268.53,418112.76,413907.25,409197.8338050544,-8.320838925884122,Low Demand - Decrease Inventory
3,2012-06-22,419497.95,0,82.7,3.346,225.3068615,6.664,2012,6,25,4,2,442074.79,446336.8,413701.29,407488.84,398775.4528175518,-9.794572810281307,Low Demand - Decrease Inventory
3,2012-06-29,422965.33,0,86.42,3.286,225.3492435,6.664,2012,6,26,4,2,419497.95,442074.79,432268.53,503232.13,398097.0307893157,-5.101555135295491,Low Demand - Decrease Inventory
3,2012-07-06,411206.5,0,83.14,3.227,225.3916254,6.334,2012,7,27,4,3,422965.33,419497.95,446336.8,420789.74,416721.97119547427,-1.4760923323256185,Stable
3,2012-07-13,416913.1,0,82.28,3.256,225.4340074,6.334,2012,7,28,4,3,411206.5,422965.33,442074.79,434822.13,408264.01956959814,-0.7155724509223133,Stable
3,2012-07-20,432424.85,0,81.38,3.311,225.4438827,6.334,2012,7,29,4,3,416913.1,411206.5,419497.95,394616.11,390335.0642778799,-6.374958168049909,Low Demand - Decrease Inventory
3,2012-07-27,389427.9,0,84.94,3.407,225.4537579,6.334,2012,7,30,4,3,432424.85,416913.1,422965.33,439913.57,399972.47327452153,-7.50474370875736,Low Demand - Decrease Inventory
3,2012-08-03,419990.29,0,86.55,3.417,225.4636332,6.334,2012,8,31,4,3,389427.9,432424.85,411206.5,431985.36,424682.2720127031,9.052862420156105,Hight Demand - Increase Inventory
3,2012-08-10,391811.6,0,85.85,3.494,225.4735085,6.334,2012,8,32,4,3,419990.29,389427.9,416913.1,418112.76,423088.6616438702,0.7377245897447285,Stable
3,2012-08-17,394918.83,0,87.36,3.571,225.5558664,6.334,2012,8,33,4,3,391811.6,419990.29,432424.85,413701.29,418423.29320301116,6.7919615455517865,Hight Demand - Increase Inventory
3,2012-08-24,412449.67,0,83.01,3.62,225.6925864,6.334,2012,8,34,4,3,394918.83,391811.6,389427.9,432268.53,400874.3393842876,1.5080337861548865,Stable
3,2012-08-31,408838.73,0,85.18,3.638,225.8293063,6.334,2012,8,35,4,3,412449.67,394918.83,419990.29,446336.8,410874.3767143488,-0.3819358821771371,Stable
3,2012-09-07,408229.73,1,84.99,3.73,225.9660263,6.334,2012,9,36,4,3,408838.73,412449.67,391811.6,442074.79,470868.23038192093,15.172119427609257,Hight Demand - Increase Inventory
3,2012-09-14,407589.16,0,78.36,3.717,226.1122067,6.334,2012,9,37,4,3,408229.73,408838.73,394918.83,419497.95,441258.19309163094,8.090655987164618,Hight Demand - Increase Inventory
3,2012-09-21,414392.09,0,72.78,3.721,226.3151496,6.334,2012,9,38,4,3,407589.16,408229.73,412449.67,422965.33,441838.8631222546,8.40299656699767,Hight Demand - Increase Inventory
3,2012-09-28,389813.02,0,77.46,3.666,226.5180926,6.334,2012,9,39,4,3,414392.09,407589.16,408838.73,411206.5,428319.53384043276,3.360933805573542,Stable
3,2012-10-05,443557.65,0,72.74,3.617,226.7210356,6.034,2012,10,40,4,4,389813.02,414392.09,408229.73,416913.1,453176.18364302814,16.25475815123572,Hight Demand - Increase Inventory
3,2012-10-12,410804.39,0,70.31,3.601,226.9239785,6.034,2012,10,41,4,4,443557.65,389813.02,407589.16,432424.85,461723.14769458026,4.095408498665333,Stable
3,2012-10-19,424513.08,0,73.44,3.594,226.9688442,6.034,2012,10,42,4,4,410804.39,443557.65,414392.09,389427.9,446193.72974390537,8.614644975898468,Hight Demand - Increase Inventory
3,2012-10-26,405432.7,0,74.66,3.506,226.9873637,6.034,2012,10,43,4,4,424513.08,410804.39,389813.02,419990.29,429297.67417570204,1.1270781516795711,Stable
4,2012-05-04,2196968.33,0,80.14,3.747,131.136,4.308,2012,5,18,4,2,2064065.66,2144336.89,2470206.13,2374660.64,2206993.992697604,6.924602035073055,Hight Demand - Increase Inventory
4,2012-05-11,2127661.17,0,67.64,3.685,131.1453333,4.308,2012,5,19,4,2,2196968.33,2064065.66,2105301.39,2427640.17,2130414.0844063237,-3.029367546398648,Stable
4,2012-05-18,2207214.81,0,68.43,3.62,131.0983226,4.308,2012,5,20,4,2,2127661.17,2196968.33,2144336.89,2226662.17,2100557.326519698,-1.2738796882918169,Stable
4,2012-05-25,2154137.67,0,77.47,3.551,131.0287742,4.308,2012,5,21,4,2,2207214.81,2127661.17,2064065.66,2206319.9,2071817.672668919,-6.134298153385491,Low Demand - Decrease Inventory
4,2012-06-01,2179360.94,0,77.41,3.483,130.9592258,4.308,2012,6,22,4,2,2154137.67,2207214.81,2196968.33,2202450.81,2146172.6946102977,-0.3697523840109182,Stable
4,2012-06-08,2245257.18,0,78.11,3.433,130.8896774,4.308,2012,6,23,4,2,2179360.94,2154137.67,2127661.17,2214967.44,2115270.495686978,-2.940790721569133,Stable
4,2012-06-15,2234190.93,0,80.94,3.372,130.8295333,4.308,2012,6,24,4,2,2245257.18,2179360.94,2207214.81,2091592.54,2135095.9387364015,-4.906397460606213,Stable
4,2012-06-22,2197299.65,0,81.63,3.329,130.7929,4.308,2012,6,25,4,2,2234190.93,2245257.18,2154137.67,2089381.77,2116765.7790816575,-5.255824349727471,Low Demand - Decrease Inventory
4,2012-06-29,2128362.92,0,84.23,3.257,130.7562667,4.308,2012,6,26,4,2,2197299.65,2234190.93,2179360.94,2470206.13,2155988.333805114,-1.8800947879314447,Stable
4,2012-07-06,2224499.28,0,80.37,3.187,130.7196333,4.077,2012,7,27,4,3,2128362.92,2197299.65,2245257.18,2105301.39,2118853.333730556,-0.44680285397209685,Stable
4,2012-07-13,2100252.61,0,76.86,3.224,130.683,4.077,2012,7,28,4,3,2224499.28,2128362.92,2234190.93,2144336.89,2137280.7621176615,-3.920815738917131,Stable
4,2012-07-20,2175563.69,0,79.14,3.263,130.7012903,4.077,2012,7,29,4,3,2100252.61,2224499.28,2197299.65,2064065.66,2082116.5406471714,-0.8635184770858794,Stable
4,2012-07-27,2048613.65,0,81.06,3.356,130.7195806,4.077,2012,7,30,4,3,2175563.69,2100252.61,2128362.92,2196968.33,2080455.1446665823,-4.371673684874636,Stable
4,2012-08-03,2174514.13,0,83.86,3.374,130.737871,4.077,2012,8,31,4,3,2048613.65,2175563.69,2224499.28,2127661.17,2110545.147883877,3.0230930992711706,Stable
4,2012-08-10,2193367.69,0,83.21,3.476,130.7561613,4.077,2012,8,32,4,3,2174514.13,2048613.65,2100252.61,2207214.81,2102336.4186258167,-3.3192569493297888,Stable
4,2012-08-17,2283540.3,0,81.41,3.552,130.7909677,4.077,2012,8,33,4,3,2193367.69,2174514.13,2175563.69,2154137.67,2143379.727544032,-2.2790507348071634,Stable
4,2012-08-24,2125241.68,0,75.76,3.61,130.8381613,4.077,2012,8,34,4,3,2283540.3,2193367.69,2048613.65,2179360.94,2140887.017428592,-6.247022772990167,Low Demand - Decrease Inventory
4,2012-08-31,2081181.35,0,76.47,3.646,130.8853548,4.077,2012,8,35,4,3,2125241.68,2283540.3,2174514.13,2245257.18,2145458.845680751,0.951287840390498,Stable
4,2012-09-07,2125104.72,1,82.09,3.709,130.9325484,4.077,2012,9,36,4,3,2081181.35,2125241.68,2193367.69,2234190.93,2168137.85644982,4.178228218786413,Stable
4,2012-09-14,2117854.6,0,68.2,3.706,130.9776667,4.077,2012,9,37,4,3,2125104.72,2081181.35,2283540.3,2197299.65,2174330.9463225976,2.316414144644945,Stable
4,2012-09-21,2119438.53,0,68.97,3.721,131.0103333,4.077,2012,9,38,4,3,2117854.6,2125104.72,2125241.68,2128362.92,2113979.602086976,-0.1829680806710679,Stable
4,2012-09-28,2027620.23,0,71.74,3.666,131.043,4.077,2012,9,39,4,3,2119438.53,2117854.6,2081181.35,2224499.28,2102813.4589832127,-0.7844092093950508,Stable
4,2012-10-05,2209835.43,0,63.07,3.62,131.0756667,3.879,2012,10,40,4,4,2027620.23,2119438.53,2125104.72,2100252.61,2099034.4025093466,3.522068455065011,Stable
4,2012-10-12,2133026.07,0,57.11,3.603,131.1083333,3.879,2012,10,41,4,4,2209835.43,2027620.23,2117854.6,2175563.69,2147833.039401531,-2.8057469690613543,Stable
4,2012-10-19,2097266.85,0,64.46,3.61,131.1499677,3.879,2012,10,42,4,4,2133026.07,2209835.43,2119438.53,2048613.65,2125097.168648243,-0.37172078969278055,Stable
4,2012-10-26,2149594.46,0,63.64,3.514,131.1930968,3.879,2012,10,43,4,4,2097266.85,2133026.07,2027620.23,2174514.13,2078214.384477958,-0.9084426009995823,Stable
5,2012-05-04,360932.69,0,77.1,3.749,222.2594722,5.801,2012,5,18,4,2,324839.74,330063.06,402985.7,349239.88,354215.0505477488,9.043016272500653,Hight Demand - Increase Inventory
5,2012-05-11,333870.52,0,73.45,3.688,222.3135926,5.801,2012,5,19,4,2,360932.69,324839.74,351832.03,356427.98,342073.25942916423,-5.2251932544086745,Low Demand - Decrease Inventory
5,2012-05-18,336189.66,0,70.45,3.63,222.330443,5.801,2012,5,20,4,2,333870.52,360932.69,330063.06,312220.47,316797.7464641854,-5.113591201707357,Low Demand - Decrease Inventory
5,2012-05-25,341994.48,0,78.23,3.561,222.3323853,5.801,2012,5,21,4,2,336189.66,333870.52,324839.74,359206.21,303253.37126235664,-9.796936865233551,Low Demand - Decrease Inventory
5,2012-06-01,359867.8,0,79.72,3.501,222.3343277,5.801,2012,6,22,4,2,341994.48,336189.66,360932.69,347295.6,352574.20210795105,3.093535927232236,Stable
5,2012-06-08,341704.59,0,81.02,3.452,222.33627,5.801,2012,6,23,4,2,359867.8,341994.48,333870.52,339392.54,339418.15405134857,-5.682543964381203,Low Demand - Decrease Inventory
5,2012-06-15,327383.64,0,81.64,3.393,222.3492901,5.801,2012,6,24,4,2,341704.59,359867.8,336189.66,321299.99,323344.5806314349,-5.3730648946111925,Low Demand - Decrease Inventory
5,2012-06-22,325041.68,0,80.57,3.346,222.3900046,5.801,2012,6,25,4,2,327383.64,341704.59,341994.48,331318.73,308750.3203430325,-5.691585461316128,Low Demand - Decrease Inventory
5,2012-06-29,329658.1,0,87.08,3.286,222.4307191,5.801,2012,6,26,4,2,325041.68,327383.64,359867.8,402985.7,307835.8308670148,-5.293428563679947,Low Demand - Decrease Inventory
5,2012-07-06,341214.43,0,82.35,3.227,222.4714336,5.603,2012,7,27,4,3,329658.1,325041.68,341704.59,351832.03,326186.7920868322,-1.053002463208928,Stable
5,2012-07-13,316203.64,0,80.78,3.256,222.5121481,5.603,2012,7,28,4,3,341214.43,329658.1,327383.64,330063.06,317649.0933283344,-6.906313039476555,Low Demand - Decrease Inventory
5,2012-07-20,321205.12,0,81.05,3.311,222.5209358,5.603,2012,7,29,4,3,316203.64,341214.43,325041.68,324839.74,304519.4042263031,-3.695161691907441,Stable
5,2012-07-27,306827.36,0,85.06,3.407,222.5297234,5.603,2012,7,30,4,3,321205.12,316203.64,329658.1,360932.69,303614.48440368474,-5.476449315725496,Low Demand - Decrease Inventory
5,2012-08-03,324195.17,0,86.91,3.417,222.5385111,5.603,2012,8,31,4,3,306827.36,321205.12,341214.43,333870.52,340113.3947477862,10.848457174023281,Hight Demand - Increase Inventory
5,2012-08-10,306759.7,0,86.96,3.494,222.5472987,5.603,2012,8,32,4,3,324195.17,306827.36,316203.64,336189.66,332158.69677902013,2.456398958386748,Stable
5,2012-08-17,314014.18,0,87.52,3.571,222.6276753,5.603,2012,8,33,4,3,306759.7,324195.17,321205.12,341994.48,327579.22743201256,6.7869173923473465,Hight Demand - Increase Inventory
5,2012-08-24,320831.36,0,79.45,3.62,222.7617437,5.603,2012,8,34,4,3,314014.18,306759.7,306827.36,359867.8,323761.448545523,3.104085473313019,Stable
5,2012-08-31,344642.01,0,84.25,3.638,222.8958121,5.603,2012,8,35,4,3,320831.36,314014.18,324195.17,341704.59,320634.6225982085,-0.06132112577507978,Stable
5,2012-09-07,350648.91,1,86.3,3.73,223.0298805,5.603,2012,9,36,4,3,344642.01,320831.36,306759.7,327383.64,388611.7343213409,12.758086085135387,Hight Demand - Increase Inventory
5,2012-09-14,299800.67,0,76.65,3.717,223.1734167,5.603,2012,9,37,4,3,350648.91,344642.01,314014.18,325041.68,372152.1740553379,6.132420048115345,Hight Demand - Increase Inventory
5,2012-09-21,307306.76,0,71.09,3.721,223.3737593,5.603,2012,9,38,4,3,299800.67,350648.91,320831.36,329658.1,353770.58496759087,18.001932740040534,Hight Demand - Increase Inventory
5,2012-09-28,310141.68,0,78.33,3.666,223.5741019,5.603,2012,9,39,4,3,307306.76,299800.67,344642.01,341214.43,341893.1476058215,11.25467842159459,Hight Demand - Increase Inventory
5,2012-10-05,343048.29,0,71.17,3.617,223.7744444,5.422,2012,10,40,4,4,310141.68,307306.76,350648.91,316203.64,374473.89923676103,20.742848635101556,Hight Demand - Increase Inventory
5,2012-10-12,325345.41,0,66.24,3.601,223.974787,5.422,2012,10,41,4,4,343048.29,310141.68,299800.67,321205.12,365372.486576505,6.507595935401697,Hight Demand - Increase Inventory
5,2012-10-19,313358.15,0,69.17,3.594,224.0192873,5.422,2012,10,42,4,4,325345.41,343048.29,307306.76,306827.36,355863.10900408775,9.380092070174825,Hight Demand - Increase Inventory
5,2012-10-26,319550.77,0,71.7,3.506,224.0378139,5.422,2012,10,43,4,4,313358.15,325345.41,310141.68,324195.17,338604.5796709806,8.056733061189105,Hight Demand - Increase Inventory
6,2012-05-04,1543461.12,0,77.66,3.749,223.2800541,5.964,2012,5,18,4,2,1456221.1,1456073.24,1840131.19,1620603.92,1578394.8482089564,8.389780110242622,Hight Demand - Increase Inventory
6,2012-05-11,1517075.67,0,72.66,3.688,223.3346212,5.964,2012,5,19,4,2,1543461.12,1456221.1,1616394.45,1632616.09,1533887.0690622032,-0.6202975127612507,Stable
6,2012-05-18,1513635.64,0,70.5,3.63,223.3511928,5.964,2012,5,20,4,2,1517075.67,1543461.12,1456073.24,1465187.71,1456921.617224738,-3.9651319947186234,Stable
6,2012-05-25,1603793.42,0,78.47,3.561,223.3525662,5.964,2012,5,21,4,2,1513635.64,1517075.67,1456221.1,1550385.65,1448982.3519046158,-4.271390444756186,Stable
6,2012-06-01,1681121.38,0,80.39,3.501,223.3539397,5.964,2012,6,22,4,2,1603793.42,1513635.64,1543461.12,1569304.4,1546015.5792032033,-3.602573752721632,Stable
6,2012-06-08,1696619.52,0,80.5,3.452,223.3553131,5.964,2012,6,23,4,2,1681121.38,1603793.42,1517075.67,1748010.29,1598326.0066209435,-4.925008649824937,Stable
6,2012-06-15,1642247.48,0,82.1,3.393,223.3680933,5.964,2012,6,24,4,2,1696619.52,1681121.38,1513635.64,1495143.62,1566167.6081760079,-7.6889314478706545,Low Demand - Decrease Inventory
6,2012-06-22,1618272.25,0,81.2,3.346,223.4093906,5.964,2012,6,25,4,2,1642247.48,1696619.52,1603793.42,1508933.26,1570141.635792181,-4.390680764376578,Stable
6,2012-06-29,1648863.46,0,87.35,3.286,223.4506878,5.964,2012,6,26,4,2,1618272.25,1642247.48,1681121.38,1840131.19,1612758.138643913,-0.34074064831100137,Stable
6,2012-07-06,1876359.39,0,82.95,3.227,223.4919851,5.668,2012,7,27,4,3,1648863.46,1618272.25,1696619.52,1616394.45,1619436.6029240787,-1.784675189291978,Stable
6,2012-07-13,1588142.26,0,80.27,3.256,223.5332824,5.668,2012,7,28,4,3,1876359.39,1648863.46,1642247.48,1456073.24,1656278.5035298318,-11.729143555498082,Low Demand - Decrease Inventory
6,2012-07-20,1574361.97,0,81.57,3.311,223.5424501,5.668,2012,7,29,4,3,1588142.26,1876359.39,1618272.25,1456221.1,1587081.5997635126,-0.06678622332532086,Stable
6,2012-07-27,1513229.16,0,85.78,3.407,223.5516178,5.668,2012,7,30,4,3,1574361.97,1588142.26,1648863.46,1543461.12,1546882.515488483,-1.7454343432544273,Stable
6,2012-08-03,1627274.93,0,87.55,3.417,223.5607856,5.668,2012,8,31,4,3,1513229.16,1574361.97,1876359.39,1517075.67,1629418.636471577,7.67824725711584,Hight Demand - Increase Inventory
6,2012-08-10,1588380.73,0,87.04,3.494,223.5699533,5.668,2012,8,32,4,3,1627274.93,1513229.16,1588142.26,1513635.64,1565578.9649040923,-3.79136702461874,Stable
6,2012-08-17,1543049.52,0,87.53,3.571,223.6510224,5.668,2012,8,33,4,3,1588380.73,1627274.93,1574361.97,1603793.42,1578925.4449212179,-0.5952782541489359,Stable
6,2012-08-24,1501095.49,0,79.03,3.62,223.7860175,5.668,2012,8,34,4,3,1543049.52,1588380.73,1513229.16,1681121.38,1548492.6677803174,0.35275263105732,Stable
